Date,Open,High,Low,Close
06/08/2019,247.85,252.08,244.82,245.99
05/08/2019,251.75,254.09,246.96,247.46
02/08/2019,254.47,256.38,251.18,255.95
01/08/2019,254.64,259.72,252.90,255.21
31/07/2019,257.11,258.32,253.81,254.44
30/07/2019,252.14,257.85,252.14,257.38
29/07/2019,254.05,254.99,251.97,253.65
26/07/2019,253.64,256.40,251.01,254.69
25/07/2019,253.48,256.01,252.12,252.79
24/07/2019,252.20,254.44,250.47,253.48
23/07/2019,251.34,253.12,247.69,252.89
22/07/2019,251.89,253.22,249.25,250.53
19/07/2019,248.45,252.76,247.36,251.65
18/07/2019,248.35,252.06,247.25,247.56
17/07/2019,248.35,251.33,247.20,248.49
16/07/2019,249.01,249.48,246.54,248.68
15/07/2019,248.73,252.41,248.06,249.10
12/07/2019,247.11,249.47,245.09,248.80
11/07/2019,247.75,248.05,245.05,246.56
10/07/2019,247.54,249.48,246.32,247.26
09/07/2019,244.33,247.39,231.12,246.96
08/07/2019,250.16,250.16,245.79,247.47
05/07/2019,248.41,251.46,247.21,251.46
03/07/2019,247.89,249.88,246.31,249.48
02/07/2019,251.07,251.07,245.76,247.31
01/07/2019,254.85,254.85,248.63,250.49
28/06/2019,248.26,255.33,247.95,251.91
27/06/2019,246.61,249.48,243.71,248.07
26/06/2019,248.81,251.20,243.13,245.53
25/06/2019,247.14,250.00,246.03,249.25
24/06/2019,249.11,249.11,245.04,246.22
21/06/2019,246.98,249.30,245.23,248.87
20/06/2019,249.50,249.50,245.81,248.16
19/06/2019,241.54,246.90,241.12,246.34
18/06/2019,239.64,242.76,237.00,240.98
17/06/2019,242.55,244.81,238.66,238.84
14/06/2019,238.18,242.68,237.89,241.71
13/06/2019,240.43,240.65,236.63,239.33
12/06/2019,237.84,239.78,236.21,239.28
11/06/2019,228.82,238.63,228.82,237.97
10/06/2019,230.99,237.60,227.42,227.70
07/06/2019,227.70,230.91,227.07,230.19
06/06/2019,227.33,228.82,225.02,226.78
05/06/2019,224.10,227.57,223.49,226.93
04/06/2019,216.32,223.39,216.32,223.02
03/06/2019,213.77,216.64,212.29,214.46
31/05/2019,221.80,221.80,212.27,212.80
30/05/2019,222.76,225.87,221.75,223.51
29/05/2019,226.64,227.45,221.83,222.53
28/05/2019,225.47,229.84,224.27,227.00
24/05/2019,225.17,226.85,223.48,225.66
23/05/2019,225.64,226.00,222.45,224.50
22/05/2019,226.00,228.57,223.60,227.62
21/05/2019,224.51,229.30,223.20,225.82
20/05/2019,222.99,226.30,221.77,223.47
17/05/2019,226.74,228.99,224.48,224.59
16/05/2019,225.51,232.31,224.24,228.96
15/05/2019,225.53,227.82,224.90,225.27
14/05/2019,225.22,228.57,223.76,227.40
13/05/2019,224.91,228.40,220.39,224.31
10/05/2019,222.47,231.25,217.45,228.92
09/05/2019,233.54,236.16,226.65,230.53
08/05/2019,232.84,236.94,231.21,235.27
07/05/2019,236.08,236.57,232.13,233.58
06/05/2019,227.45,237.95,226.45,237.18
03/05/2019,231.62,236.08,230.33,231.09
02/05/2019,224.87,231.49,223.01,231.05
01/05/2019,228.20,230.71,224.57,225.51
30/04/2019,225.66,229.57,223.73,227.50
29/04/2019,225.38,229.64,225.30,225.99
26/04/2019,226.27,227.87,223.48,225.55
25/04/2019,227.82,227.82,222.29,225.68
24/04/2019,224.80,228.55,223.62,227.88
23/04/2019,225.46,227.88,223.30,225.09
22/04/2019,220.95,225.95,220.49,225.69
